X,Y,Z,ID,x,y,osm_id,code,fclass,name
93084.2891574453,437209.733756024,0,84,4.4871789,51.919922,4379186090,2501,supermarket,Wah Nam Hong
91689.0167144746,437599.32032576,0,85,4.4668276,51.9232663,906600013,2251,sports_centre,Fit For Free
92799.8989966793,437468.088644357,0,86,4.4829987,51.9222122,2532067221,2501,supermarket,Albert Heijn
89951.5033076438,436428.180816632,0,87,4.4417934,51.9125405,1538640742,2007,library,Delfshaven
93120.3771688621,437976.899474988,0,88,4.4875654,51.9268208,931720309,2251,sports_centre,Gymzaal Alkemadehof
93826.5407513475,437760.89476622,0,89,4.4978692,51.9249576,931720313,2251,sports_centre,Gymzaal Cosmicus College
91737.0247948937,437227.555888417,0,90,4.4675938,51.9199306,931720314,2251,sports_centre,Gymzaal Josephstraat
95384.7738277284,436471.326864095,0,91,4.5207436,51.9135369,290924768,2501,supermarket,PLUS
93808.6545831481,437246.591514161,0,92,4.4977007,51.9203334,290952527,2110,hospital,Havenziekenhuis
91540.370882433,436317.405658602,0,93,4.4649034,51.9117284,4067813390,2110,hospital,Erasmus MC - Rochussenstraat
91892.8468711311,435590.517308743,0,94,4.4701588,51.9052357,298618334,2724,memorial,
93149.6102452072,437661.383465573,0,95,4.4880471,51.9239884,4406738710,2501,supermarket,Gimsel
91891.0635988779,436344.757150638,0,96,4.4699946,51.9120141,1599898060,2110,hospital,Erasmus MC - Sophia
92330.2817845215,438044.779547015,0,97,4.4760676,51.9273424,976508707,2251,sports_centre,"David Lloyd, Rotterdam Akragon"
89923.3294442285,437989.590973339,0,98,4.4410886,51.92657,976508708,2251,sports_centre,"David Lloyd, Rotterdam Blijdorp"
90344.3344024975,436072.279661869,0,99,4.4475689,51.9093877,1602649933,2501,supermarket,ALDI
90198.2786007271,436120.401963524,0,100,4.4454375,51.9098032,1602649955,2501,supermarket,Jumbo Rotterdam
90251.3430535192,436157.545941685,0,101,4.4462016,51.9101432,1602649977,2501,supermarket,Nachtwinkel
90342.2161451379,436145.310207629,0,102,4.4475244,51.9100438,1602650004,2201,theatre,Prinsestheater
91369.6712816996,435589.957335623,0,103,4.4625573,51.9051711,4425453369,2082,school,M?llerpier
