Longitude,Latitude,Lat,long,Adres,City,Type Lader,
44738,5186332,51.86332,4.4738,Driemanssteeweg 638 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1243002 mennekes,"51.86332,4.4738"
44738,5186332,51.86332,4.4738,Driemanssteeweg 638 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1243002 mennekes,"51.86332,4.4738"
4.47382E+14,5.19227E+14,51.92269897,4.47382021,Karel Doormanstraat 10 Rotterdam,Rotterdam,Stopcontact NewMotion 01000565 mennekes,"51.9226989746094,4.47382020950317"
4.47382E+14,5.19227E+14,51.92269897,4.47382021,Karel Doormanstraat 10 Rotterdam,Rotterdam,Stopcontact NewMotion 01000555 mennekes,"51.9226989746094,4.47382020950317"
447396,5186363,51.86363,4.47396,Driemanssteeweg 638 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250101 mennekes,"51.86363,4.47396"
447396,5186363,51.86363,4.47396,Driemanssteeweg 638 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250101 mennekes,"51.86363,4.47396"
447397,5186324,51.86324,4.47397,Driemanssteeweg 638 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247047 mennekes,"51.86324,4.47397"
447397,5186324,51.86324,4.47397,Driemanssteeweg 638 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247047 mennekes,"51.86324,4.47397"
4474,5196359,51.96359,4.474,Kastanjesingel 24 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309006 mennekes,"51.96359,4.474"
4474,5196359,51.96359,4.474,Kastanjesingel 24 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309006 mennekes,"51.96359,4.474"
4474064,5191509,51.91509,4.474064,Westersingel 76 Rotterdam,Rotterdam,Krachtstroom Essent EM-NL-00000599-01-00003 mennekes,"51.91509,4.474064"
4474064,5191509,51.91509,4.474064,Westersingel 76 Rotterdam,Rotterdam,Krachtstroom Essent EM-NL-00000599-01-00003 mennekes,"51.91509,4.474064"
447412,5195483,51.95483,4.47412,Wilgenlei 61 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247091 mennekes,"51.95483,4.47412"
447412,5195483,51.95483,4.47412,Wilgenlei 61 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247091 mennekes,"51.95483,4.47412"
4475038,51945438,51.945438,4.475038,Kleiweg 167 Rotterdam,Rotterdam,Stopcontact Tweewielercentrum Kleiweg schuko,"51.945438,4.475038"
447523,5195057,51.95057,4.47523,Ringdijk 92 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250023 mennekes,"51.95057,4.47523"
447523,5195057,51.95057,4.47523,Ringdijk 92 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250023 mennekes,"51.95057,4.47523"
4475483681,51914698686,51.91469869,4.475483681,Eendrachtsweg 38 Rotterdam,Rotterdam,Krachtstroom E-laad AL762 mennekes,"51.914698686,4.475483681"
447549,5191857,51.91857,4.47549,Karel Doormanhof 2 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1317037 mennekes,"51.91857,4.47549"
447549,5191857,51.91857,4.47549,Karel Doormanhof 2 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1317037 mennekes,"51.91857,4.47549"
447552,5186316,51.86316,4.47552,Zuiderparkweg 606 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247110 mennekes,"51.86316,4.47552"
447552,5186316,51.86316,4.47552,Zuiderparkweg 606 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247110 mennekes,"51.86316,4.47552"
447561,5186349,51.86349,4.47561,Zuiderparkweg 606 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250103 mennekes,"51.86349,4.47561"
447561,5186349,51.86349,4.47561,Zuiderparkweg 606 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250103 mennekes,"51.86349,4.47561"
447568,518635,51.8635,4.47568,Zuiderparkweg 606 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250111 mennekes,"51.8635,4.47568"
447568,518635,51.8635,4.47568,Zuiderparkweg 606 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1250111 mennekes,"51.8635,4.47568"
44757702,519177788,51.9177788,4.4757702,Oude Binnenweg 59 Rotterdam,Rotterdam,Stopcontact NewMotion 02000763 mennekes,"51.9177788,4.4757702"
447592,519001,51.9001,4.47592,Kabelhof 99 Rotterdam,Rotterdam,Stopcontact EV-Box EVB-P1247008 mennekes,"51.9001,4.47592"
447627,5189913,51.89913,4.47627,Staalstraat 91 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309118 mennekes,"51.89913,4.47627"
447627,5189913,51.89913,4.47627,Staalstraat 91 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309118 mennekes,"51.89913,4.47627"
44768188,519185379,51.9185379,4.4768188,Crispijnstraat 8 Rotterdam,Rotterdam,Stopcontact NewMotion 02000802 mennekes,"51.9185379,4.4768188"
44768188,519185379,51.9185379,4.4768188,Crispijnstraat 8 Rotterdam,Rotterdam,Stopcontact NewMotion 02000849 mennekes,"51.9185379,4.4768188"
447704,5190644,51.90644,4.47704,Zeemansstraat 13 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247084 mennekes,"51.90644,4.47704"
447704,5190644,51.90644,4.47704,Zeemansstraat 13 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247084 mennekes,"51.90644,4.47704"
4.47709E+13,5.19185E+13,51.91850597,4.477090985,Crispijnstraat 6 Rotterdam,Rotterdam,Krachtstroom Interparking Lijnbaan mennekes,"51.918505967961,4.4770909845829"
447743,519079,51.9079,4.47743,Veerhaven 2 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1239092 mennekes,"51.9079,4.47743"
447743,519079,51.9079,4.47743,Veerhaven 2 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1239092 mennekes,"51.9079,4.47743"
4.47809E+13,5.1921E+13,51.9210456,4.478091394,Aert van Nesstraat 16 Rotterdam,Rotterdam,Krachtstroom Q-Park De Bijenkorf mennekes,"51.921045601044,4.4780913944775"
4.4781E+14,5.1921E+14,51.92100143,4.478099823,Aert van Neshof 12 Rotterdam,Rotterdam,Stopcontact NewMotion 01000546 mennekes,"51.9210014343262,4.47809982299805"
4.4781E+14,5.1921E+14,51.92100143,4.478099823,Aert van Neshof 12 Rotterdam,Rotterdam,Stopcontact NewMotion 01000603 mennekes,"51.9210014343262,4.47809982299805"
4479021,5191368,51.91368,4.479021,Schiedamsesingel 132 Rotterdam,Rotterdam,Krachtstroom Essent EM-NL-00000599-01-00002 mennekes,"51.91368,4.479021"
4479021,5191368,51.91368,4.479021,Schiedamsesingel 132 Rotterdam,Rotterdam,Krachtstroom Essent EM-NL-00000599-01-00002 mennekes,"51.91368,4.479021"
448071,5194538,51.94538,4.48071,Kleiweg 45 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1338032 mennekes,"51.94538,4.48071"
448071,5194538,51.94538,4.48071,Kleiweg 45 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1338032 mennekes,"51.94538,4.48071"
448113,5190942,51.90942,4.48113,Willemsplein 492 Rotterdam,Rotterdam,Stopcontact EV-Box EVB-P1328136 mennekes,"51.90942,4.48113"
448126,5191642,51.91642,4.48126,Schilderstraat 57 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247004 mennekes,"51.91642,4.48126"
448126,5191642,51.91642,4.48126,Schilderstraat 57 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247004 mennekes,"51.91642,4.48126"
4.48156E+13,5.19192E+13,51.91920061,4.48155528,Bulgersteyn 5 Rotterdam,Rotterdam,Krachtstroom Q-Park Beursplein mennekes,"51.919200607591,4.4815552803566"
4.48163E+14,5.19192E+14,51.9192276,4.481627464,Bulgersteyn 7349 Rotterdam,Rotterdam,Stopcontact NewMotion 01000544 mennekes,"51.9192276000977,4.48162746429443"
4.48163E+14,5.19192E+14,51.9192009,4.481629848,Bulgersteyn 5 Rotterdam,Rotterdam,Stopcontact NewMotion 01000542 mennekes,"51.9192008972167,4.48162984848022"
448163,5191195,51.91195,4.48163,Zalmstraat 1 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1317047 mennekes,"51.91195,4.48163"
448163,5191195,51.91195,4.48163,Zalmstraat 1 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1317047 mennekes,"51.91195,4.48163"
448193,5193144,51.93144,4.48193,Tollensstraat 41 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247090 mennekes,"51.93144,4.48193"
448193,5193144,51.93144,4.48193,Tollensstraat 41 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247090 mennekes,"51.93144,4.48193"
448287,5189907,51.89907,4.48287,Wodanstraat 1121 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309129 mennekes,"51.89907,4.48287"
448287,5189907,51.89907,4.48287,Wodanstraat 1121 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1309129 mennekes,"51.89907,4.48287"
4483082,51923044,51.923044,4.483082,Lombardkade 86d Rotterdam,Rotterdam,Krachtstroom E-laad REE012 mennekes,"51.923044,4.483082"
448329,5192291,51.92291,4.48329,Delftsevaart 24 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247082 mennekes,"51.92291,4.48329"
448329,5192291,51.92291,4.48329,Delftsevaart 24 Rotterdam,Rotterdam,Krachtstroom EV-Box EVB-P1247082 mennekes,"51.92291,4.48329"
